POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TOLL TAG # / PLATE #,EXIT PLAZA,EXIT LANE,ENTRY DATE/TIME,ENTRY PLAZA,ENTRY LANE,DEBIT(-),CREDIT(+),BALANCE,,,,,,,,,,,,,,,,,
12/17/2021,12/06/2021,08:30:49 AM,6MKY397-CA,Dumbarton Bridge,03,-,-,-,$6.00,-,$256.75,
12/16/2021,12/03/2021,05:36:21 PM,01455110906,I-880 Hesperian/238 NB,01,12/03/2021 05:23:22 PM,I-880 Whipple NB,01,$14.00,-,$262.75,
12/15/2021,12/03/2021,08:48:44 AM,01455110906,I-880 Thornton SB,01,12/03/2021 08:37:57 AM,I-880 Washington/238 Zn SB,01,$7.25,-,$276.75,
12/15/2021,12/15/2021,06:02:32 AM,-,Payments,-,-,-,-,-,$190.00,$284.00,
12/14/2021,12/02/2021,06:29:16 PM,01455110906,I-880 Hesperian/238 NB,01,12/02/2021 06:15:41 PM,I-880 Whipple NB,01,$14.00,-,$94.00,
12/14/2021,12/02/2021,08:57:58 AM,01455110906,I-880 Thornton SB,01,12/02/2021 08:43:43 AM,I-880 Washington/238 Zn SB,01,$16.75,-,$108.00,
12/14/2021,12/10/2021,08:02:19 AM,6MKY397-CA,Dumbarton Bridge,02,-,-,-,$6.00,-,$124.75,
12/13/2021,12/01/2021,06:09:48 PM,01455110906,I-880 Hesperian/238 NB,01,12/01/2021 05:58:08 PM,I-880 Whipple NB,01,$14.00,-,$130.75,
12/13/2021,12/01/2021,08:18:22 AM,01455110906,I-880 Thornton SB,01,12/01/2021 08:01:17 AM,I-880 Washington/238 Zn SB,01,$17.75,-,$144.75,
12/13/2021,12/09/2021,09:15:32 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$162.50,
12/12/2021,11/30/2021,06:24:42 PM,01455110906,I-880 Hesperian/238 NB,01,11/30/2021 06:16:34 PM,I-880 Whipple NB,01,$14.00,-,$168.50,
12/12/2021,11/30/2021,08:26:30 AM,01455110906,I-880 Thornton SB,01,11/30/2021 08:11:17 AM,I-880 Washington/238 Zn SB,01,$17.50,-,$182.50,
12/11/2021,11/29/2021,05:47:11 PM,01455110906,I-880 Hesperian/238 NB,01,11/29/2021 05:36:51 PM,I-880 Whipple NB,01,$14.00,-,$200.00,
12/11/2021,12/07/2021,08:26:24 AM,6MKY397-CA,Dumbarton Bridge,05,-,-,-,$6.00,-,$214.00,
12/11/2021,11/29/2021,08:34:49 AM,01455110906,I-880 Thornton SB,01,11/29/2021 08:22:11 AM,I-880 Washington/238 Zn SB,01,$16.75,-,$220.00,
12/09/2021,12/08/2021,08:52:33 AM,01455110906,Dumbarton Bridge,06,-,-,-,$6.00,-,$236.75,
12/08/2021,12/03/2021,08:52:55 AM,6MKY397-CA,Dumbarton Bridge,04,-,-,-,$6.00,-,$242.75,
12/06/2021,11/24/2021,02:32:35 PM,01455110906,I-880 Hesperian/238 NB,01,11/24/2021 02:22:14 PM,I-880 Whipple NB,01,$11.50,-,$248.75,
12/06/2021,11/24/2021,08:40:22 AM,01455110906,I-880 Thornton SB,01,11/24/2021 08:28:48 AM,I-880 Washington/238 Zn SB,01,$4.00,-,$260.25,
12/06/2021,12/02/2021,09:02:25 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$264.25,
12/06/2021,12/06/2021,12:48:01 AM,-,Payments,-,-,-,-,-,$190.00,$270.25,
12/05/2021,11/23/2021,05:32:40 PM,01455110906,I-880 Hesperian/238 NB,01,11/23/2021 05:20:20 PM,I-880 Whipple NB,01,$14.00,-,$80.25,
12/05/2021,11/23/2021,09:23:07 AM,01455110906,I-880 Thornton SB,01,11/23/2021 09:12:00 AM,I-880 Washington/238 Zn SB,01,$4.75,-,$94.25,
12/04/2021,11/22/2021,06:52:15 PM,01455110906,I-880 Hesperian/238 NB,01,11/22/2021 06:44:35 PM,I-880 Whipple NB,01,$14.00,-,$99.00,
12/04/2021,11/22/2021,08:47:03 AM,01455110906,I-880 Tennyson Zone SB,01,11/22/2021 08:41:42 AM,I-880 Washington/238 Zn SB,01,$4.00,-,$113.00,
12/04/2021,11/30/2021,08:32:14 AM,6MKY397-CA,Dumbarton Bridge,05,-,-,-,$6.00,-,$117.00,
12/03/2021,11/19/2021,06:29:07 PM,01455110906,I-880 Hesperian/238 NB,01,11/19/2021 06:13:13 PM,I-880 Whipple NB,01,$14.00,-,$123.00,
12/03/2021,11/19/2021,08:31:37 AM,01455110906,I-880 Thornton SB,01,11/19/2021 08:20:17 AM,I-880 Washington/238 Zn SB,01,$8.50,-,$137.00,
12/03/2021,11/18/2021,08:43:15 AM,01455110906,I-880 Thornton SB,01,11/18/2021 08:32:02 AM,I-880 Washington/238 Zn SB,01,$12.50,-,$145.50,
12/03/2021,11/18/2021,06:05:52 PM,01455110906,I-880 Hesperian/238 NB,01,11/18/2021 05:48:43 PM,I-880 Whipple NB,01,$7.00,-,$158.00,
12/03/2021,11/17/2021,05:56:18 PM,01455110906,I-880 Hesperian/238 NB,01,11/17/2021 05:43:42 PM,I-880 Whipple NB,01,$14.00,-,$165.00,
12/03/2021,11/29/2021,08:40:10 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$179.00,
12/02/2021,11/17/2021,07:46:58 AM,01455110906,I-880 Thornton SB,01,11/17/2021 07:26:15 AM,I-880 Washington/238 Zn SB,01,$18.50,-,$185.00,
12/01/2021,11/16/2021,07:01:42 PM,01455110906,I-880 Hesperian/238 NB,01,11/16/2021 06:53:37 PM,I-880 Whipple NB,01,$12.00,-,$203.50,
12/01/2021,11/16/2021,08:41:00 AM,01455110906,I-880 Thornton SB,01,11/16/2021 08:26:30 AM,I-880 Washington/238 Zn SB,01,$16.75,-,$215.50,
12/01/2021,12/01/2021,08:22:49 AM,01455110906,Dumbarton Bridge,06,-,-,-,$6.00,-,$232.25,
12/01/2021,11/15/2021,05:58:00 PM,01455110906,I-880 Hesperian/238 NB,01,11/15/2021 05:49:31 PM,I-880 Whipple NB,01,$12.25,-,$238.25,
11/30/2021,11/15/2021,08:20:06 AM,01455110906,I-880 Thornton SB,01,11/15/2021 08:06:55 AM,I-880 Washington/238 Zn SB,01,$17.50,-,$250.50,
11/28/2021,11/28/2021,06:52:24 AM,-,Payments,-,-,-,-,-,$190.00,$268.00,
11/28/2021,11/24/2021,08:43:37 AM,6MKY397-CA,Dumbarton Bridge,05,-,-,-,$6.00,-,$78.00,
11/27/2021,11/12/2021,03:51:34 PM,01455110906,I-880 Hesperian/238 NB,01,11/12/2021 03:41:06 PM,I-880 Whipple NB,01,$14.00,-,$84.00,
11/27/2021,11/12/2021,08:56:24 AM,01455110906,I-880 Thornton SB,01,11/12/2021 08:43:59 AM,I-880 Washington/238 Zn SB,01,$6.25,-,$98.00,
11/27/2021,11/23/2021,09:26:08 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$104.25,
11/26/2021,11/11/2021,06:14:02 PM,01455110906,I-880 Hesperian/238 NB,01,11/11/2021 06:05:15 PM,I-880 Whipple NB,01,$14.00,-,$110.25,
11/26/2021,11/11/2021,08:08:51 AM,01455110906,I-880 Thornton SB,01,11/11/2021 07:57:54 AM,I-880 Washington/238 Zn SB,01,$7.25,-,$124.25,
11/26/2021,11/22/2021,08:57:19 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$131.50,
11/25/2021,11/10/2021,08:41:52 AM,01455110906,I-880 Thornton SB,01,11/10/2021 08:30:25 AM,I-880 Washington/238 Zn SB,01,$15.75,-,$137.50,
11/25/2021,11/10/2021,05:56:46 PM,01455110906,I-880 Hesperian/238 NB,01,11/10/2021 05:51:43 PM,I-880 Hesperian/238 NB,01,$7.00,-,$153.25,
11/24/2021,11/09/2021,08:31:04 AM,01455110906,I-880 Thornton SB,01,11/09/2021 08:17:34 AM,I-880 Washington/238 Zn SB,01,$10.25,-,$160.25,
11/24/2021,11/20/2021,12:50:42 PM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$170.50,
11/23/2021,11/08/2021,06:25:57 PM,01455110906,I-880 Hesperian/238 NB,01,11/08/2021 06:16:56 PM,I-880 Whipple NB,01,$13.00,-,$176.50,
11/23/2021,11/08/2021,08:07:10 AM,01455110906,I-880 Thornton SB,01,11/08/2021 07:54:01 AM,I-880 Washington/238 Zn SB,01,$15.75,-,$189.50,
11/23/2021,11/19/2021,08:35:26 AM,6MKY397-CA,Dumbarton Bridge,06,-,-,-,$6.00,-,$205.25,
